name_lower,name,smiles
centyl,Bendroflumethiazide,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
bendroflumetiazida,Bendroflumethiazide,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
neo-naclex,Bendroflumethiazide,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
aprinox,Bendroflumethiazide,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
bendrofluazide,Bendroflumethiazide,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
benzhydroflumethiazide,Bendroflumethiazide,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
zyloric,Allopurinol,OC1=NC=NC2=C1C=NN2
adenock,Allopurinol,OC1=NC=NC2=C1C=NN2
"4-hydroxy-3,4-pyrazolopyrimidine",Allopurinol,OC1=NC=NC2=C1C=NN2
"4-hydroxypyrazolo(3,4-d)pyrimidine",Allopurinol,OC1=NC=NC2=C1C=NN2
4-hpp,Allopurinol,OC1=NC=NC2=C1C=NN2
"1h-pyrazolo(3,4-d)pyrimidin-4-ol",Allopurinol,OC1=NC=NC2=C1C=NN2
allopurinolum,Allopurinol,OC1=NC=NC2=C1C=NN2
allopurinol,Allopurinol,OC1=NC=NC2=C1C=NN2
4-hydroxypyrazolopyrimidine,Allopurinol,OC1=NC=NC2=C1C=NN2
zyrik,Allopurinol,OC1=NC=NC2=C1C=NN2
alloril,Allopurinol,OC1=NC=NC2=C1C=NN2
"4'-hydroxypyrazolol(3,4-d)pyrimidine",Allopurinol,OC1=NC=NC2=C1C=NN2
aluron,Allopurinol,OC1=NC=NC2=C1C=NN2
"1,5-dihydro-4h-pyrazolo(3,4-d)pyrimidin-4-one",Allopurinol,OC1=NC=NC2=C1C=NN2
progout,Allopurinol,OC1=NC=NC2=C1C=NN2
"1,5-dihydro-4h-pyrazolo(3,4-d)pyrimidine-4-one",Allopurinol,OC1=NC=NC2=C1C=NN2
"4-hydroxypyrazolyl(3,4-d)pyrimidine",Allopurinol,OC1=NC=NC2=C1C=NN2
"4h-pyrazolo(3,4-d)pyrimidin-4-one",Allopurinol,OC1=NC=NC2=C1C=NN2
allohexal,Allopurinol,OC1=NC=NC2=C1C=NN2
alopurinol,Allopurinol,OC1=NC=NC2=C1C=NN2
"4-hydroxy-1h-pyrazolo(3,4-d)pyrimidine",Allopurinol,OC1=NC=NC2=C1C=NN2
milurit,Allopurinol,OC1=NC=NC2=C1C=NN2
ceftazidime,Ceftazidime,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1
ceptaz,Ceftazidime,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1
ceftazidima,Ceftazidime,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1
fortum,Ceftazidime,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1
caz,Ceftazidime,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1
tazidime,Ceftazidime,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1
veltadim,Ceftazidime,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1
ceftazidim,Ceftazidime,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1
cefzim,Ceftazidime,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1
ceftazidimum,Ceftazidime,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1
ceftazidime anhydrous,Ceftazidime,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1
cerivastatin,Cerivastatin,COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C(C)C)N=C1C(C)C
rivastatin,Cerivastatin,COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C(C)C)N=C1C(C)C
lipobay,Cerivastatin,COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C(C)C)N=C1C(C)C
triprim,Trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC
trimpex,Trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC
