DILIST_ID,drug_name,name_lower,smiles,canonical_smiles,source
163,clozapine,clozapine,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,drugbank
164,dacarbazine,dacarbazine,CN(C)\N=N\C1=C(N=CN1)C(N)=O,CN(C)/N=N/c1[nH]cnc1C(N)=O,drugbank
165,dapsone,dapsone,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,drugbank
166,digoxin,digoxin,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,drugbank
167,disulfiram,disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,CCN(CC)C(=S)SSC(=S)N(CC)CC,drugbank
168,enalapril,enalapril,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,drugbank
169,furosemide,furosemide,NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,drugbank
170,gabapentin,gabapentin,NCC1(CC(O)=O)CCCCC1,NCC1(CC(=O)O)CCCCC1,drugbank
171,glibenclamide,glibenclamide,COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,drugbank
172,isoniazid,isoniazid,NNC(=O)C1=CC=NC=C1,NNC(=O)c1ccncc1,drugbank
