split,variant,resample,profile_auroc,drug_auroc
drug,cell_dose_only,8,0.46432263880962427,0.5107677902621722
drug,cell_dose_only,9,0.47456341396913326,0.4421586165772212
drug,tuned_E,0,0.5093417131897112,0.5336111111111111
drug,tuned_E,1,0.7147841902943681,0.6279761904761905
drug,tuned_E,2,0.5882507027855866,0.6436627282491945
drug,tuned_E,3,0.8668410751312906,0.6201950659781984
drug,tuned_E,4,0.6210408177933071,0.638938580799046
drug,tuned_E,5,0.5398263255406113,0.6330555555555556
drug,tuned_E,6,0.5568306148370789,0.6029741863075196
drug,tuned_E,7,0.5713131965756744,0.4868043602983362
drug,tuned_E,8,0.6246329702323349,0.5739700374531835
drug,tuned_E,9,0.7463076794328769,0.6431127012522362
drug,chemberta_ft,0,0.5112854060348666,0.5411111111111112
drug,chemberta_ft,1,0.5493472820618663,0.6561147186147186
drug,chemberta_ft,2,0.42407998977766426,0.5945220193340492
drug,chemberta_ft,3,0.1879367478634963,0.6029833620195065
drug,chemberta_ft,4,0.5939450565854143,0.6332737030411449
drug,chemberta_ft,5,0.5147156575728005,0.6486111111111111
drug,chemberta_ft,6,0.518272822163814,0.5939955106621774
drug,chemberta_ft,7,0.5790933074893663,0.5559380378657488
drug,chemberta_ft,8,0.5415002109128806,0.5661672908863921
drug,chemberta_ft,9,0.5784734538955972,0.5748360166964819
drug,chemberta_meta,0,0.5199249922937288,0.5083333333333334
drug,chemberta_meta,1,0.5430651943964293,0.5960497835497836
drug,chemberta_meta,2,0.507813697929977,0.6699785177228786
drug,chemberta_meta,3,0.3464449741294111,0.5645438898450947
drug,chemberta_meta,4,0.5374757431845951,0.6714370900417412
drug,chemberta_meta,5,0.5033306461877891,0.6058333333333333
drug,chemberta_meta,6,0.5566419759296755,0.6192480359147026
drug,chemberta_meta,7,0.6309427663813062,0.5708548479632817
drug,chemberta_meta,8,0.6294384754720727,0.6045568039950062
drug,chemberta_meta,9,0.5132602293004636,0.6174716756112104
scaffold,structure,0,0.568946696325589,0.4440227703984819
scaffold,structure,1,0.6413925691560652,0.5702411994784876
scaffold,structure,2,0.5770164759177184,0.5859728506787331
scaffold,structure,3,0.587312876786561,0.6391625615763548
scaffold,structure,4,0.5599647266313933,0.5694736842105264
scaffold,structure,5,0.5491159368695859,0.65936329588015
scaffold,structure,6,0.18749843268462976,0.6472491909385113
scaffold,structure,7,0.5851870719420389,0.6434782608695652
scaffold,structure,8,0.2866525930691963,0.5478777343184122
scaffold,structure,9,0.39705351339640355,0.5201450443190975
scaffold,measured,0,0.543273191629593,0.5673624288425048
scaffold,measured,1,0.44941774877507523,0.49266623207301175
